Rank,Naam,Park,Fabrikant,Operatief,Punten F,Punten P
1,Der Schwur des Kärnan,Hansa Park,Gerstlauer,1,99,99
2,Hyperion,Energylandia,Intamin,1,98,98
3,Zadra,Energylandia,RMC,1,97,97
4,Ride to Happiness,Plopsaland de Panne ,Mack Rides,1,96,96
5,Untamed,Walibi Holland,RMC,1,95,95
6,Taron,Phantasialand,Intamin,1,94,94
7,	Voltron,Europa-Park,Mack Rides,1,93,93
8,Shambhala,PortAventura,B&M,1,92,92
9,Batman Gotham City Escape,Parque Warner,Intamin,1,91,91
10,Kondaa,Walibi Belgium,Intamin,1,90,90
11,Red Force,Ferrari Land,Intamin,1,89,89
12,Troy,Toverland,GCI,1,88,88
13,Flucht von Novgorod,Hansa Park,Gerstlauer,1,87,87
14,F.L.Y.,Phantasialand,Vekoma,1,86,86
15,Fenix,Toverland,B&M,1,85,85
16,Superman / la Atracción de Acero,Parque Warner,B&M,1,84,84
17,Abyssus,Energylandia,Vekoma,1,83,83
18,Furius Baco,PortAventura,Intamin,1,82,82
19,Colossos - Kampf der Giganten,Heide Park,Intamin,1,81,81
20,Flug der Dämonen,Heide Park,B&M,1,80,80
21,Dragon Khan,PortAventura,B&M,1,79,79
22,	Wodan Timbur Coaster,Europa-Park,GCI,1,78,78
23,Black  Mamba,Phantasialand,B&M,1,77,77
24,Karacho,Tripsdrill,Gerstlauer,1,76,76
25,Anubis The Ride,Plopsaland de Panne ,Gerstlauer,1,75,75
26,Hals-über-Kopf,Tripsdrill,Vekoma,1,74,74
27,Goliath,Walibi Holland,Intamin,1,73,73
28,Blue fire Megacoaster,Europa-Park,Mack Rides,1,72,72
29,Baron 1898,Efteling,B&M,1,71,71
30,Lost Gravity,Walibi Holland,Mack Rides,1,70,70
31,Abismo,Parque de attractiones,Mauer Rides,1,69,69
32,Shadow of Arkham,Parque Warner,B&M,1,68,68
33,Van Helsing's Factory,Moviepark Germany,Gerstlauer,1,67,67
34,Gold Rush,Slagharen,Gerstlauer,1,66,66
35,Fury,Bobbejaanland ,Gerstlauer,1,65,65
36,De Vliegende Hollander,Efteling,KumbaK,1,64,64
37,Olympia Looping,Prater Park,Schwarzkopf,1,63,63
38,Joris en de draak - Water,Efteling,GCI,1,62,62
39,Joris en de draak - Vuur,Efteling,GCI,1,61,61
40,Formula,Energylandia,Vekoma,1,60,60
41,Eurosat - CanCan Coaster,Europa-Park,Mack Rides,1,59,59
42,YOY Thrill,Walibi Holland,RMC,1,58,58
43,	Silver Star,Europa-Park,B&M,1,57,57
44,Stuntfall,Parque Warner,Vekoma,1,56,56
45,Revolution,Bobbejaanland ,Vekoma,1,55,55
46,YOY Chill,Walibi Holland,RMC,1,54,54
47,Nessie,Hansa Park,Schwarzkopf,1,53,53
48,Uncharted,PortAventura,Intamin,1,52,52
49,Speed,Energylandia,Intamin,1,51,51
50,Tarantula ,Parque de attractiones,Mauer Rides,1,50,50
51,Heide The Ride,Plopsaland de Panne ,GCI,1,49,49
52,Xpress: Platform 13,Walibi Holland,Vekoma,1,48,48
