ax,Naam,Park,Fabrikant,Operatief,Punten P,Punten F
1,Der Schwur des Kärnan,Hansa Park,Gerstlauer,1,100,100
2,Troy,Toverland,GCI,1,98,98
3,Ride to Happiness,Plopsaland DePanne,Mack Rides,1,96,96
4,Taron,Phantasialand,Intamin,1,94,94
5,Hyperion,Energylandia,Intamin,1,92,92
6,Voltron,Europa Park,Mack Rides,1,89,89
7,Shambhala,PortAventura,B&M,1,87,87
8,Colossos - Kampf der Giganten,Heide Park,Intamin,1,85,85
9,Zadra,Energylandia,RMC,1,83,83
10,Red Force,Ferrari Land,Intamin,1,81,81
11,Kondaa,Walibi Belgium,Intamin,1,79,79
12,Flucht von Novgorod,Hansa Park,Gerstlauer,1,77,77
13,Untamed,Walibi Holland,RMC,1,75,75
14,Rutschebanen,Tivoli Gardens,Valdemar Lebech,1,73,73
15,F.L.Y.,Phantasialand,Vekoma,1,71,71
16,Baron 1898,Efteling,B&M,1,68,68
17,Vertigo,Walibi Belgium,Doppelmayr,0,0,66
18,Black  Mamba,Phantasialand,B&M,1,64,64
19,Abyssus,Energylandia,Vekoma,1,62,62
20,Karacho,Tripsdrill,Gerstlauer,1,60,60
21,Cancan Coaster,Europa Park,Mack Rides,1,58,58
22,Flug der Dämonen,Heide Park,B&M,1,56,56
23,Fenix,Toverland,B&M,1,54,54
24,Wodan Timber Coaster,Europa Park,GCI,1,52,52
25,Expedition GeForce,Holiday Park,Intamin,1,50,50
26,Van Helsing's Factory,Moviepark Germany,Gerstlauer,1,47,47
27,Dragon Khan,PortAventura,B&M,1,45,45
28,Anubis the Ride,Plopsaland DePanne,Gerstlauer,1,43,43
29,Turbine,Walibi Belgium,Schwarzkopf,0,0,41
30,Blue Fire,Europa Park,Mack Rides,1,39,39
31,Silver Star,Europa Park,B&M,1,37,37
32,Hals-über-Kopf,Tripsdrill,Vekoma,1,35,35
33,Heidi the Ride,Plopsaland DePanne,GCI,1,33,33
34,Gold Rush,Slagharen,Gerstlauer,1,31,31
35,Cop Car Chase,Moviepark Germany,Intamin,0,0,29
36,Olympia Looping,Prater Park,Schwarzkopf,1,26,26
37,ARTHUR,Europa Park,Mack Rides,1,24,24
38,Furius Baco,PortAventura,Intamin,1,22,22
39,Nessie,Hansa Park,Schwarzkopf,1,20,20
40,Goliath,Walibi Holland,Intamin,1,18,18
41,De Vliegende Hollander,Efteling,KumbaK,1,16,16
42,Krake,Heide Park,B&M,1,14,14
43,Booster Bike,Toverland,Vekoma,1,12,12
44,Dwervelwind,Toverland,Mack Rides,1,10,10
45,Speed,Energylandia,Intamin,1,8,8
46,Lost Gravity,Walibi Holland,Mack Rides,1,5,5
47,G'sengte Sau,Tripsdrill,Gerstlauer,1,3,3
48,Joris en de draak - Water,Efteling,GCI,1,1,1
49,Joris en de draak - Vuur,Efteling,GCI,1,0,0
50,Euro-Mir,Europa Park,Mack Rides,1,0,0
51,Uncharted,PortAventura,Intamin,1,0,0
52,Fury,Bobbejaanland,Gerstlauer,1,0,0
53,Swiss Bob Run,Europa Park,Mack Rides,1,0,0
54,Tiki Waka,Walibi Belgium,Gerstlauer,1,0,0
55,Speedy Bob,Bobbejaanland,Mack Rides,1,0,0
56,Eurosat,Europa Park,Mack Rides,0,0,0
57,Matterhorn Blitz,Europa Park,Mack Rides,1,0,0
58,Atlantica SuperSplash,Europa Park,Mack Rides,1,0,0
59,Colorado Adventure,Phantasialand,Vekoma,1,0,0
60,Calamity Mine,Walibi Belgium,Vekoma,1,0,0
61,Pegasus,Efteling,Intamin,0,0,0
62,YOY Thrill,Walibi Holland,RMC,1,0,0
63,Poseidon,Europa Park,Mack Rides,1,0,0
64,Dragon Rollercoaster,Energylandia,Vekoma,1,0,0
65,Sky Scream,Holiday Park,Premier Rides,1,0,0
66,Schlange von Midgard,Hansa Park,Gerstlauer,1,0,0
67,The Milky Way Express,Tivoli Gardens,Mack Rides,1,0,0
68,Typhoon,Bobbejaanland,Gerstlauer,1,0,0
69,Python,Efteling,Vekoma,1,0,0
70,YOY Chill,Walibi Holland,RMC,1,0,0
71,Big Loop,Heide Park,Vekoma,1,0,0
72,Vampire,Walibi Belgium,Vekoma,1,0,0
73,Loup Garou,Walibi Belgium,Vekoma,1,0,0
74,Stampedia,PortAventura,CCI,1,0,0
